term_pretty,coef,ci_lower,ci_upper,pval
Intercept,2.9894329907810127,1.8782932464970803,4.1005727350649455,1.3411867712526305e-07
sex: male (vs female),-0.38592038854059507,-0.522057014822195,-0.24978376225899518,2.7585316445553432e-08
age: 25–34 (vs 18–24),-0.07690025923917351,-0.47405907359716537,0.3202585551188184,0.7043166632350908
age: 35–44 (vs 18–24),-0.3242376946894897,-0.6967269909580702,0.048251601579090864,0.08799435248938468
age: 45–54 (vs 18–24),-0.1365772793963529,-0.5180071509288382,0.24485259213613247,0.48280542790917247
age: 55–64 (vs 18–24),-0.09103291162048274,-0.47262461952331136,0.2905587962823458,0.640091385473402
age: 65–74 (vs 18–24),-0.5498442679996157,-0.9218978486821414,-0.17779068731709002,0.0037728029096909784
age: 75+ (vs 18–24),-0.5554821998598186,-0.9267619540857877,-0.18420244563384952,0.0033639887094145905
income: 2 (vs 1),-2.250231507746352e-14,-7.621374614036274e-13,7.171328312487003e-13,0.952451096051678
income: 3 (vs 1),-1.1604225981709502,-2.8847545743733756,0.5639093780314755,0.18717054279932577
income: 4 (vs 1),1.7156745741523907e-15,-2.416771599305819e-14,2.7599065141362973e-14,0.8966330747490401
income: 5 (vs 1),-0.7630556211909434,-2.418536673649757,0.8924254312678701,0.3663136550820342
income: missing (vs 1),-0.9648857143971453,-2.046096347104834,0.11632491831054337,0.0802744175059291
PGSI (score),-1.395989121195617,-119.57568869503108,116.78371045263985,0.981529080808494
PGSI (score):sex: male (vs female),-0.13062322180517177,-0.3752139521718626,0.11396750856151902,0.2952309982663994
PGSI (score):income: 2 (vs 1),5.078047725815535e-16,-1.2891617339853258e-14,1.3907226885016365e-14,0.9407893727531575
PGSI (score):income: 3 (vs 1),10.703556007981947,-107.83241237674291,129.2395243927068,0.8595235121790811
PGSI (score):income: 4 (vs 1),0.0,0.0,0.0,
PGSI (score):income: 5 (vs 1),-0.3138446380486167,-118.78171361779921,118.15402434170197,0.9958571392316825
PGSI (score):income: missing (vs 1),1.593784204275847,-116.58570924664659,119.77327765519829,0.9789125057237285
